season,avg_price_base,avg_price_sim,avg_price_delta,peak_price_base,peak_price_sim,peak_reduction,trough_price_base,trough_price_sim,floor_increase,re_saved_gwh,net_bess_annual_gwh,avg_daily_cycles,arbitrage_profit_meur,realized_profit_meur,annual_charge_gwh
Full year,100.4263916811092,101.56334238981555,1.136950708706351,207.0180831408776,157.82247794419732,49.195605196680276,5.8521131639722865,48.10443216151271,42.25231899754043,928.1124357008628,-828.5295206264447,1.2106367424678632,482.5966916246829,-225.91349903620852,6628.236165011551
High Solar (May–Aug),88.56640110841704,89.49632041622843,0.9299193078113888,193.11778546712804,134.2911240883241,58.82666137880395,-0.8717845117845119,44.23712765729342,45.10891216907793,541.8641807001878,-310.26973863815493,1.3453430401654405,221.32265276355187,-38.36910452412957,2482.1579091052376
High Wind (Nov–Feb),118.84241727621038,120.08610741273839,1.2436901365280022,228.4914583333333,188.60658747303555,39.88487086029775,71.85875,89.39119953015091,17.532449530150913,3.788607547169806,-199.76998720670997,0.29190135116962157,76.69952197617701,-103.08031507534137,1598.1598976536782
"Shoulder (Mar–Apr, Sep–Oct)",93.99469796341043,95.23218396970317,1.237486006292741,193.6149655172414,134.69563195772753,58.91933355951386,1.7402758620689656,44.81431995393305,43.07404409186409,382.45964745350517,-318.48979478157975,0.6933111178918735,184.57451688495394,-84.46407943673753,2547.9183582526352
